"sourceCode";"sourceName";"targetCode";"targetName"
"0191";"Halden";"0101";"Halden"
"0191";"Halden";"0118";"Aremark"
"0192";"Moss";"0104";"Moss"
"0192";"Moss";"0135";"Råde"
"0192";"Moss";"0136";"Rygge"
"0192";"Moss";"0137";"Våler"
"0193";"Fredrikstad/Sarpsborg";"0105";"Sarpsborg"
"0193";"Fredrikstad/Sarpsborg";"0106";"Fredrikstad"
"0193";"Fredrikstad/Sarpsborg";"0111";"Hvaler"
"0193";"Fredrikstad/Sarpsborg";"0128";"Rakkestad"
"0194";"Askim/Mysen";"0119";"Marker"
"0194";"Askim/Mysen";"0121";"Rømskog"
"0194";"Askim/Mysen";"0122";"Trøgstad"
"0194";"Askim/Mysen";"0123";"Spydeberg"
"0194";"Askim/Mysen";"0124";"Askim"
"0194";"Askim/Mysen";"0125";"Eidsberg"
"0194";"Askim/Mysen";"0127";"Skiptvet"
"0194";"Askim/Mysen";"0138";"Hobøl"
"0291";"Follo";"0211";"Vestby"
"0291";"Follo";"0213";"Ski"
"0291";"Follo";"0214";"Ås"
"0291";"Follo";"0215";"Frogn"
"0291";"Follo";"0216";"Nesodden"
"0291";"Follo";"0217";"Oppegård"
"0292";"Bærum/Asker";"0219";"Bærum"
"0292";"Bærum/Asker";"0220";"Asker"
"0293";"Lillestrøm";"0221";"Aurskog-Høland"
"0293";"Lillestrøm";"0226";"Sørum"
"0293";"Lillestrøm";"0227";"Fet"
"0293";"Lillestrøm";"0228";"Rælingen"
"0293";"Lillestrøm";"0229";"Enebakk"
"0293";"Lillestrøm";"0230";"Lørenskog"
"0293";"Lillestrøm";"0231";"Skedsmo"
"0293";"Lillestrøm";"0233";"Nittedal"
"0293";"Lillestrøm";"0234";"Gjerdrum"
"0293";"Lillestrøm";"0236";"Nes"
"0294";"Ullensaker/Eidsvoll";"0235";"Ullensaker"
"0294";"Ullensaker/Eidsvoll";"0237";"Eidsvoll"
"0294";"Ullensaker/Eidsvoll";"0238";"Nannestad"
"0294";"Ullensaker/Eidsvoll";"0239";"Hurdal"
"0391";"Oslo";"0301";"Oslo"
"0491";"Kongsvinger";"0402";"Kongsvinger"
"0491";"Kongsvinger";"0418";"Nord-Odal"
"0491";"Kongsvinger";"0419";"Sør-Odal"
"0491";"Kongsvinger";"0420";"Eidskog"
"0491";"Kongsvinger";"0423";"Grue"
"0491";"Kongsvinger";"0425";"Åsnes"
"0492";"Hamar";"0403";"Hamar"
"0492";"Hamar";"0412";"Ringsaker"
"0492";"Hamar";"0415";"Løten"
"0492";"Hamar";"0417";"Stange"
"0493";"Elverum";"0426";"Våler"
"0493";"Elverum";"0427";"Elverum"
"0493";"Elverum";"0428";"Trysil"
"0493";"Elverum";"0429";"Åmot"
"0493";"Elverum";"0430";"Stor-Elvdal"
"0493";"Elverum";"0434";"Engerdal"
"0494";"Tynset";"0432";"Rendalen"
"0494";"Tynset";"0436";"Tolga"
"0494";"Tynset";"0437";"Tynset"
"0494";"Tynset";"0438";"Alvdal"
"0494";"Tynset";"0439";"Folldal"
"0494";"Tynset";"0441";"Os"
"0591";"Lillehammer";"0501";"Lillehammer"
"0591";"Lillehammer";"0521";"Øyer"
"0591";"Lillehammer";"0522";"Gausdal"
